Code,Yahoo ticker,Name,Full name,Industry code,Issued shares,Market,Industry,Asset type,Fund type,Detailed industry,Investment theme,Supply-chain role
00961,00961.TW,FT臺灣永續高息,富蘭克林華美臺灣ESG永續高息ETF證券投資信託基金,ETF,767511000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00962,00962.TW,台新AI優息動能基金,台新臺灣AI優息動能ETF證券投資信託基金,ETF,56420000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
009802,009802.TW,富邦旗艦50,富邦台灣旗艦動能50 ETF證券投資信託基金,ETF,523995000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
009803,009803.TW,玉山市值動能50,玉山臺灣市值動能50 ETF證券投資信託基金,ETF,188828000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
009804,009804.TW,聯邦台灣精彩50ETF基金,聯邦台灣精彩50ETF證券投資信託基金,ETF,154892000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
009808,009808.TW,華南永昌優選50,華南永昌台灣優選50ETF證券投資信託基金,ETF,39511000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
009809,009809.TW,富邦淨零ESG50,富邦台灣淨零轉型ESG 50 ETF證券投資信託基金,ETF,30363000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
009816,009816.TW,凱基台灣TOP50,凱基台灣 TOP 50 ETF證券投資信託基金,ETF,12014344000,上市,台灣股票 ETF,ETF,國內成分證券指數股票型基金,台灣股票 ETF,台灣股票 ETF,ETF 投資工具
00635U,00635U.TW,期元大S&amp;P黃金(原名：元大S&amp;P黃金),元大標普高盛黃金ER指數股票型期貨信託基金,ETF,345514000,上市,商品／期貨 ETF,ETF,指數股票型期貨信託基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00642U,00642U.TW,期元大S&amp;P石油(原名：元大S&amp;P石油),元大標普高盛原油ER指數股票型期貨信託基金,ETF,77821000,上市,商品／期貨 ETF,ETF,指數股票型期貨信託基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00673R,00673R.TW,期元大S&amp;P原油反1(原名：元大S&amp;P原油反1),元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日反向1倍指數股票型期貨信託基金,ETF,625050646,上市,商品／期貨 ETF,ETF,槓桿/反向指數股票型基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00674R,00674R.TW,期元大S&amp;P黃金反1(原名：元大S&amp;P黃金反1),元大標普油金傘型期貨信託基金之元大標普高盛黃金ER單日反向1倍指數股票型期貨信託基金,ETF,14420555,上市,商品／期貨 ETF,ETF,槓桿/反向指數股票型基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00682U,00682U.TW,期元大美元指數(原名：元大美元指數),元大標普美元指數傘型期貨信託基金之元大標普美元ER指數股票型期貨信託基金,ETF,7644000,上市,商品／期貨 ETF,ETF,指數股票型期貨信託基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00693U,00693U.TW,期街口S&amp;P黃豆,街口標普高盛黃豆ER指數股票型期貨信託基金,ETF,73166000,上市,商品／期貨 ETF,ETF,指數股票型期貨信託基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00708L,00708L.TW,期元大S&amp;P黃金正2(原名：元大S&amp;P黃金正2),元大標普金日傘型期貨信託基金之元大標普高盛黃金ER單日正向2倍指數股票型期貨信託基金,ETF,131073000,上市,商品／期貨 ETF,ETF,槓桿/反向指數股票型基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00738U,00738U.TW,期元大道瓊白銀(原名：元大道瓊白銀),元大道瓊白銀ER指數股票型期貨信託基金,ETF,242799000,上市,商品／期貨 ETF,ETF,指數股票型期貨信託基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00763U,00763U.TW,期街口道瓊銅,街口道瓊銅ER指數股票型期貨信託基金,ETF,42065000,上市,商品／期貨 ETF,ETF,指數股票型期貨信託基金,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具
00631L,00631L.TW,元大台灣50正2,元大ETF傘型證券投資信託基金之台灣50單日正向2倍證券投資信託基金,ETF,7517348000,上市,槓桿／反向 ETF,ETF,槓桿/反向指數股票型基金,槓桿／反向 ETF,槓桿／反向 ETF,ETF 投資工具
