Ticker,Name,Market,Foreign 20D value,Trust 20D value,Dealer 20D value,20D net value,20D net shares,Trust 20D shares,Foreign 5D value,Trust 5D value,Dealer 5D value,5D net value,5D net shares,Trust 5D shares,Foreign 1D value,Trust 1D value,Dealer 1D value,1D net value,1D net shares,Trust 1D shares,Industry,Asset type,Issued shares,Detailed industry,Investment theme,Supply-chain role,Close,Market cap proxy,1D flow intensity,5D flow intensity,20D flow intensity,Trust 1D intensity,Trust 5D intensity,Trust 20D intensity,1D return,5D return,20D return,Flow score,Stage,Signal date
00715L.TW,期街口布蘭特正2,上市,639608314.6191559,0.0,1096591270.949295,1736199585.568451,28388069.0,0.0,60032599.57885742,0.0,164996325.1820221,225028924.76087952,3239520.0,0.0,-16316999.626159668,0.0,51399547.822380066,35082548.1962204,526765.0,0.0,槓桿／反向 ETF,ETF,57691793,槓桿／反向 ETF,槓桿／反向 ETF,ETF 投資工具,66.5999984741211,3842273325.76931,0.009130674791126702,0.05615218095232367,0.492064252535885,0.0,0.0,0.0,-0.018422992308198327,-0.05732488272168412,0.4059531343854983,89.75003500650173,資金累積＋價格確認,2026-09-18
2382.TW,廣達,上市,13039808133.5,6415661441.5,614873238.5,20070342813.5,58939025.0,18795993.0,-228477155.0,4318329842.0,445876299.5,4535728986.5,13256546.0,12620156.0,-2100997451.0,1754695390.0,120105909.0,-226196152.0,-659464.0,5115730.0,電腦及週邊設備,股票,4107627432,AI 伺服器,AI 資料中心,ODM／系統組裝,343.0,1408916209176.0,-0.00016054620603186194,0.0032272999972505784,0.014348678397861084,0.0012454221042898128,0.0030723711458551773,0.004575875809371603,-0.005797101449275366,0.019316493313521477,0.055384615384615365,89.56534367470584,資金累積＋價格確認,2026-09-18
8227.TWO,巨有科技,上櫃,853371414.5,0.0,40246352.0,893617766.5,3678734.0,0.0,488071534.0,0.0,21210910.0,509282444.0,2029511.0,0.0,7533000.0,0.0,14299587.0,21832587.0,78253.0,0.0,半導體業,股票,39543000,半導體業,半導體業,待進一步分類,279.0,11032497000.0,0.0019789343246592317,0.05132415345320284,0.09303123182358446,0.0,0.0,0.0,0.0017953321364452268,0.16736401673640167,0.8058252427184467,89.49628522517631,資金累積＋價格確認,2026-09-18
6026.TWO,福邦證,上櫃,85304363.7559576,3569287.8308258057,0.0,88873651.58678341,5888512.0,233609.0,21481555.77738571,2039289.263261795,0.0,23520845.040647507,1531440.0,133006.0,-1573885.5,853957.0,0.0,-719928.5,-46447.0,55094.0,金融保險,股票,396161841,金融保險,金融保險,待進一步分類,15.5,6140508535.5,-0.00011724248827892538,0.003865692859600781,0.014863905077622051,0.00013906942642666082,0.0003357365254166415,0.0005896807209152685,0.009771961876388735,0.026490040293054573,0.06529208225509686,89.43248053657075,資金累積＋價格確認,2026-09-18
00642U.TW,期元大S&P石油,上市,15279661.500169754,0.0,564979942.8706627,580259604.3708324,18839221.0,0.0,6720970.902374268,0.0,123459815.46284866,130180786.36522293,3894925.0,0.0,-1090909.749710083,0.0,32525051.50062561,31434141.750915527,949672.0,0.0,商品／期貨 ETF,ETF,56821000,商品／期貨 ETF,商品／期貨 ETF,ETF 投資工具,33.099998474121094,1880775013.2980347,0.016713398215448514,0.06854728005490927,0.33155384452931136,0.0,0.0,0.0,-0.0027116648482011785,-0.011645362340977905,0.22140214052373253,89.40924253358673,資金累積＋價格確認,2026-09-18
3094.TW,聯傑,上市,402027713.9171066,0.0,1595324.5613937378,403623038.47850037,8682647.0,0.0,207784075.76018524,0.0,860058.9655075073,208644134.72569275,4210393.0,0.0,141673512.09068298,0.0,819031.4120864868,142492543.50276947,2756142.0,0.0,半導體業,股票,83117089,半導體業,半導體業,待進一步分類,51.70000076293945,4297153564.713306,0.03315975129975979,0.05065616530434554,0.1044628379610359,0.0,0.0,0.0,0.15659954989986624,0.2640586512014431,0.389784938242411,89.39701532894783,資金累積＋價格確認,2026-09-18
00982A.TW,主動群益台灣強棒,上市,1147910897.7679272,104464616.57333374,855286267.823967,2107661782.165228,93321022.0,4574000.0,25207928.002830505,0.0,156089408.11767006,181297336.12050056,7736311.0,0.0,117254879.6081543,0.0,187868685.78217506,305123565.39032936,13365027.0,0.0,主動式 ETF,ETF,2215436000,主動式 ETF,主動式 ETF,ETF 投資工具,22.829999923706055,50578403710.97565,0.00603268476272842,0.003492003831300024,0.04212309540875927,0.0,0.0,0.002064604890414347,0.008837859936212222,0.0205632126604971,0.0008768285064422177,89.28062103205481,資金累積＋價格確認,2026-09-18
6168.TW,宏齊,上市,392195541.15978813,0.0,5330863.280994415,397526404.44078255,11797842.0,0.0,335937940.3986435,0.0,4970361.82252121,340908302.2211647,9845157.0,0.0,162079046.7841568,0.0,-439743.13272857666,161639303.65142822,4160600.0,0.0,光電業,股票,205761801,光電業,光電業,待進一步分類,38.849998474121094,7993845654.882408,0.020220468424068664,0.04784735044188304,0.05733737721317865,0.0,0.0,0.0,0.18085096268345047,0.3191849734350707,0.5696969080452967,89.0700471742789,資金累積＋價格確認,2026-09-18
2480.TW,敦陽科,上市,181159995.0,3739707.0,2709408.0,187609110.0,1165753.0,23884.0,131194719.0,1273040.0,2422041.5,134889800.5,830999.0,8149.0,61136625.0,-191400.0,1320000.0,62265225.0,377365.0,-1160.0,資訊服務業,股票,106360291,資訊服務業,資訊服務業,待進一步分類,165.0,17549448015.0,0.003547987660169151,0.00781305684844356,0.01096041566866341,-1.090632593323762e-05,7.66169396809943e-05,0.00022455749016331669,0.03125,0.04761904761904767,0.034482758620689724,89.0540435388026,資金累積＋價格確認,2026-09-18
1727.TW,中華化,上市,867826150.5104294,0.0,18523610.20135498,886349760.7117844,8933842.0,0.0,716163797.3644257,0.0,2094813.5086593628,718258610.873085,7183224.0,0.0,179233492.0,0.0,-23600476.0,155633016.0,1468236.0,0.0,化學工業,股票,128019559,化學工業,化學工業,待進一步分類,106.0,13570073254.0,0.011468841257295692,0.05611036357342865,0.06978497715337388,0.0,0.0,0.0,0.06000000000000005,0.18303573443269272,0.28329300191464557,89.05233592721916,資金累積＋價格確認,2026-09-18
6640.TWO,均華,上櫃,-630227338.0,859753000.0,4146430.0,233672092.0,160826.0,712000.0,75818560.0,130440000.0,15970395.0,222228955.0,187834.0,112000.0,109526420.0,90860000.0,13009500.0,213395920.0,180844.0,77000.0,半導體業,股票,28911500,半導體設備與材料,半導體資本支出,設備／材料供應,1180.0,34115570000.0,0.006255088805492624,0.006496861110630718,0.005562699963682272,0.002663300070906041,0.0038738910122269685,0.024626878577728585,0.01724137931034475,0.008547008547008517,0.10280373831775691,89.04625760996777,資金累積＋價格確認,2026-09-18
3680.TWO,家登,上櫃,1780832215.5,42977836.0,20971920.0,1844781971.5,3445528.0,83002.0,165995445.5,98748.0,-84118515.0,81975678.5,129561.0,176.0,34668985.0,195078.0,-8250840.0,26613223.0,49931.0,366.0,半導體業,股票,96211690,半導體業,半導體業,待進一步分類,533.0,51280830770.0,0.0005189701999829751,0.0013466243031382153,0.0358119475918155,3.804111537797538e-06,1.8292995373015483e-06,0.0008627018192903585,0.02895752895752901,0.045098039215686336,0.13163481953290868,88.78840733231144,資金累積＋價格確認,2026-09-18
3045.TW,台灣大,上市,5582392631.5,712903247.5,-316228549.5,5979067329.5,50555155.0,5912579.0,867529676.5,306319602.5,-85814933.0,1088034346.0,8806189.0,2466553.0,-41383016.0,266413008.0,6763332.0,231793324.0,1869301.0,2148492.0,通信網路業,股票,3723431015,通信網路業,通信網路業,待進一步分類,124.0,461705445860.0,0.00050203723191579,0.002365073762485163,0.013577572619537306,0.0005770194187416683,0.000662440901970088,0.0015879383762397972,0.004048582995951344,0.024793388429751984,0.11711711711711703,88.74515526729925,資金累積＋價格確認,2026-09-18
3014.TW,聯陽,上市,155611989.5,19018270.5,-1842589.0,172787671.0,1287646.0,143792.0,195503208.0,10635594.0,2010950.0,208149752.0,1563782.0,79652.0,50521175.0,4295079.0,1383726.0,56199980.0,414760.0,31698.0,半導體業,股票,165954124,半導體業,半導體業,待進一步分類,135.5,22486783802.0,0.0024992449118046624,0.009422977641700546,0.007759047916157841,0.0001910045935345361,0.0004799639688375566,0.000866456322591899,0.014981273408239737,0.03831417624521083,0.03041825095057038,88.70712353525182,資金累積＋價格確認,2026-09-18
